city,population_proper
"Sugarland Run, VA",
"Tiptop, VA",
"Deerfield, VA",
"Meadowbrook, VA",
"Selma, VA",
"Churchville, VA",
"Springville, VA",
"Shenandoah, VA",2334.0
"Saxe, VA",
"Parrott, VA",
"Altavista, VA",3468.0
"Potomac Mills, VA",
"Great Falls, VA",
"Naruna, VA",
"Clifton Forge, VA",3715.0
"Skyland Estates, VA",
"Lynch Station, VA",
"Claypool Hill, VA",
"Fries, VA",467.0
"La Crosse, VA",584.0
"Glade Spring, VA",1448.0
"Falls Church, VA",14014.0
"Dunn Loring, VA",
"Pound, VA",954.0
"Rocky Mount, VA",4798.0
"Concord, VA",
"Grottoes, VA",2799.0
"Modest Town, VA",
"Fairlawn, VA",
"Galax, VA",6775.0
"Farmville, VA",8140.0
"University Center, VA",
"Lively, VA",
"Nethers, VA",
"Hampden Sydney, VA",
"Saxis, VA",239.0
